TransactionID,CustomerID,TransactionDate,TransactionAmount,MerchantCategory,TransactionCity,TransactionCountry,PaymentStatus,CreditLimit,AvailableCredit
8707961,694924,2024-11-09,44816.15,Retail,Ambala,India,Success,315398.34,5363.22
94620054,329017,2024-02-20,45366.9,Dining,Malda,India,Success,205139.98,470224.08
21581790,951824,2024-12-05,15598.05,Dining,Hindupur,India,Success,322730.66,288918.67
21053021,470885,2024-03-07,1771.33,Retail,Pali,India,Success,179703.25,124148.38
57390951,892278,2024-05-16,26106.36,Retail,Nagercoil,India,Success,499379.55,91507.71
73371808,241908,2024-10-01,47866.73,Retail,Tadipatri,India,Success,227066.11,259825.0
91815154,979586,2024-12-22,39105.26,Travel,Madhyamgram,India,Success,92652.11,496037.32
4783720,554711,2025-01-09,43486.88,Dining,Siliguri,India,Failed,127000.1,266628.33
63837805,714170,2024-09-12,25861.53,Retail,Vijayawada,India,Success,452484.58,170092.11
85491901,289384,2025-01-17,6103.39,Groceries,Anantapuram,India,Success,344247.85,46048.29
28746746,733370,2024-07-14,33152.3,Dining,Kottayam,India,Success,449579.9,394371.51
14451857,548452,2024-08-18,46349.81,Retail,Jamalpur,India,Failed,150588.36,310251.63
28387158,779957,2024-05-19,31027.53,Travel,Nashik,India,Failed,481591.88,283852.63
65886815,19689,2024-08-11,29696.05,Groceries,Sultan Pur Majra,India,Success,186546.73,130351.79
69031913,762832,2025-01-13,29644.83,Retail,Ongole,India,Failed,63338.61,217309.9
57303453,128141,2024-05-16,5933.48,Travel,Sasaram,India,Success,345261.32,226834.59
2492673,400232,2024-03-17,24216.29,Travel,Machilipatnam,India,Success,375418.16,476247.89
5295215,842483,2024-07-25,36125.73,Dining,Mau,India,Success,445700.43,472685.39
96061850,637119,2024-09-21,39882.64,Retail,Dhule,India,Failed,331918.4,163375.33
23007024,363220,2024-01-26,34597.56,Retail,Tiruppur,India,Failed,317005.0,37629.43
41940069,330547,2024-10-10,11220.96,Dining,Sonipat,India,Success,306874.66,489446.45
75491271,146801,2024-10-30,908.21,Retail,Chapra,India,Success,310756.57,304632.7
20549737,992452,2024-05-16,26981.43,Travel,Bardhaman,India,Failed,69549.5,368568.7
55800626,971810,2024-08-26,36463.58,Dining,Eluru,India,Failed,205553.15,242375.83
91594124,335739,2024-06-14,49166.4,Travel,Narasaraopet,India,Success,176049.8,346513.94
47326707,404270,2024-03-28,11025.82,Groceries,Khora ,India,Failed,94936.79,230282.06
14542276,827531,2024-03-14,16572.12,Dining,Ranchi,India,Success,163813.02,288132.13
15233751,203847,2024-02-18,37440.77,Travel,Jorhat,India,Failed,104211.95,230188.95
91926801,481689,2024-11-10,1527.48,Groceries,Sasaram,India,Success,232377.87,433281.91
38500706,53049,2024-10-31,20061.67,Groceries,Karawal Nagar,India,Failed,126210.09,308937.56
8351145,928970,2024-10-03,41877.6,Retail,Dehri,India,Failed,176325.93,213965.48
81235414,422077,2024-10-09,23415.58,Retail,Fatehpur,India,Failed,460105.22,464880.73
16107283,976465,2024-07-08,41674.46,Travel,Tenali,India,Failed,315564.61,434586.31
53220419,418330,2024-07-18,43299.49,Groceries,Mathura,India,Success,59898.29,474968.65
56262975,171495,2024-08-04,7695.18,Travel,Kharagpur,India,Success,70448.79,25384.57
52937169,854512,2024-08-09,35001.86,Retail,Muzaffarpur,India,Success,95345.25,11405.41
81762367,166212,2024-03-30,25918.12,Retail,Aligarh,India,Success,454810.38,336312.21
49827408,258996,2024-03-01,27616.28,Dining,Muzaffarpur,India,Failed,169314.7,375471.55
94480626,655370,2024-07-30,41161.27,Dining,Kottayam,India,Success,227506.95,227943.92
31132786,111050,2024-04-22,11563.14,Dining,Khora ,India,Failed,334837.55,269185.01
61754066,268729,2024-03-08,2511.78,Dining,Cuttack,India,Success,133575.1,101969.17
15966337,554711,2024-07-13,49444.92,Travel,Imphal,India,Failed,96568.49,422864.23
25741921,959152,2024-04-17,32868.33,Retail,Kurnool,India,Success,352328.53,399799.69
8666675,160454,2024-06-27,4529.74,Dining,Danapur,India,Success,204254.14,73698.54
13915323,916743,2024-11-15,47472.98,Retail,Sangli-Miraj & Kupwad,India,Success,248713.75,85735.96
3708483,178390,2024-06-29,27634.26,Travel,Orai,India,Success,284722.73,497754.7
