FeedbackID,CustomerID,FeedbackDate,FeedbackChannel,FeedbackCategory,FeedbackText,SentimentScore,ResolutionStatus
216172,930317,2024-03-26,Phone,Service,Perferendis nobis illum quod.,Negative,Resolved
307204,335959,2024-08-07,Online,Service,Ea quidem officia eius ut nesciunt dolore.,Positive,Resolved
553299,764524,2024-01-31,Branch,Service,Facere quo libero quia.,Positive,Resolved
884145,429816,2024-02-16,Online,Service,Necessitatibus laboriosam autem sed dolorum iusto.,Positive,Resolved
341795,666750,2024-11-22,Phone,Website,Occaecati natus tempora facere error perspiciatis.,Negative,Pending
236656,789066,2024-07-28,Branch,Product,Quisquam impedit perferendis possimus.,Positive,Resolved
660315,307612,2024-06-13,Branch,Service,Quia est vero necessitatibus tenetur sint.,Negative,Resolved
268598,187795,2024-12-22,Online,Service,Temporibus nihil molestias quam esse.,Positive,Resolved
171095,623346,2024-08-26,Phone,Service,Assumenda quibusdam non maiores pariatur.,Positive,Pending
590622,532856,2024-06-23,Phone,Product,Nemo officia dolores consequatur ex cumque.,Neutral,Resolved
468048,436797,2024-09-24,Online,Service,Quod nesciunt aperiam similique odit voluptatum voluptatum nihil.,Neutral,Resolved
809946,306000,2024-02-22,Branch,Product,Minus quisquam esse ut autem unde nostrum.,Negative,Pending
247619,489322,2024-01-26,Phone,Service,Natus amet minus blanditiis magnam quasi.,Positive,Pending
618115,182192,2024-11-19,Online,Service,Atque veniam nemo consequuntur expedita error sapiente.,Negative,Resolved
57951,885698,2024-11-18,Online,Service,Natus quis quod aut ea.,Negative,Resolved
179981,194620,2024-10-20,Branch,Service,Quidem repudiandae recusandae impedit.,Positive,Resolved
482647,111050,2024-10-28,Online,Website,Dolores corporis eaque neque iure dolorum velit deserunt.,Neutral,Resolved
147209,406634,2024-01-20,Phone,Service,Molestias eaque id ut quis quia veritatis deserunt.,Neutral,Resolved
308577,94597,2024-12-28,Online,Website,Fugit exercitationem natus ipsum qui ex.,Negative,Resolved
42600,397677,2024-09-30,Online,Website,Eum id quas quam fugiat itaque ullam.,Positive,Pending
495507,427156,2024-06-08,Branch,Service,Porro in quia dolorem aliquid.,Positive,Pending
506140,713573,2024-05-30,Online,Service,Placeat consequatur repellendus aspernatur vitae.,Neutral,Resolved
83602,524796,2024-03-31,Online,Service,Voluptas ducimus harum commodi dignissimos possimus quidem.,Negative,Resolved
690735,669194,2024-11-21,Phone,Website,Error quae error veniam alias temporibus.,Negative,Pending
419281,862255,2024-04-26,Phone,Product,Earum ratione optio impedit ipsum ducimus.,Neutral,Resolved
349922,102906,2024-01-19,Phone,Website,Nulla recusandae quidem magni.,Negative,Pending
18276,665630,2024-03-10,Branch,Website,Cum corporis placeat omnis inventore autem adipisci repellendus.,Positive,Pending
919559,564669,2024-04-27,Branch,Service,Temporibus iusto quibusdam totam ullam exercitationem.,Negative,Resolved
551213,618250,2024-10-09,Online,Product,Occaecati laudantium iusto.,Positive,Resolved
836561,143773,2024-09-14,Phone,Website,Rem quam aut eligendi aliquam ullam.,Neutral,Pending
186736,157724,2024-02-14,Phone,Service,Aliquid beatae voluptatem quam officiis officia impedit.,Positive,Pending
547522,792976,2024-03-11,Branch,Service,Magnam esse soluta earum quasi.,Negative,Resolved
618137,880034,2024-07-03,Branch,Website,Occaecati explicabo sed consequuntur ipsa consequuntur.,Negative,Resolved
865015,308266,2024-08-14,Phone,Service,Earum minima ratione quis ea suscipit reprehenderit recusandae.,Neutral,Resolved
601039,114248,2024-04-27,Online,Service,Exercitationem quas sapiente.,Negative,Pending
673415,220250,2024-10-05,Phone,Product,Commodi ipsam aspernatur iusto.,Negative,Resolved
910774,976436,2024-08-09,Online,Service,Officiis aut repellat debitis ipsum.,Neutral,Pending
223948,434035,2024-09-07,Branch,Website,Rem rem corporis vero maiores totam labore.,Neutral,Pending
287193,322990,2024-11-09,Branch,Website,Fugiat tempora totam rerum sit eligendi.,Neutral,Pending
33559,418330,2024-07-03,Phone,Website,Amet eos placeat voluptate.,Negative,Pending
996672,633832,2024-05-27,Online,Website,Doloremque dolore in.,Positive,Pending
885887,714170,2024-02-23,Online,Product,Natus dolor voluptates facere nisi.,Neutral,Resolved
817046,105092,2024-05-05,Online,Product,Cumque numquam dignissimos natus.,Neutral,Resolved
92929,353960,2024-06-20,Phone,Website,Excepturi et voluptatem deserunt.,Neutral,Pending
187991,687140,2024-11-27,Online,Website,Iusto illo beatae inventore neque corporis.,Positive,Pending
727361,248967,2024-11-19,Phone,Service,Itaque placeat harum quo ducimus voluptate unde.,Positive,Resolved
690821,87647,2024-06-05,Online,Service,Expedita magnam quasi ab ratione.,Positive,Resolved
854316,365397,2025-01-16,Branch,Website,Corporis incidunt tempore quas quod.,Positive,Resolved
459431,762911,2024-08-16,Online,Service,Magnam suscipit suscipit consectetur iusto quam incidunt.,Positive,Resolved
808959,37036,2024-06-27,Online,Website,Ut voluptatum totam magni voluptatem error.,Positive,Resolved
843792,142729,2024-09-16,Online,Service,Recusandae doloremque amet cumque tempora sed commodi minima.,Positive,Pending
166205,598741,2024-03-15,Phone,Service,Doloremque facere quia assumenda cum laboriosam architecto.,Neutral,Pending
989364,676535,2024-02-14,Phone,Website,Eveniet tenetur itaque.,Negative,Resolved
743852,16810,2024-09-21,Phone,Product,Deserunt temporibus veniam quisquam alias.,Positive,Pending
530896,463080,2024-09-15,Online,Product,Ipsa voluptate laborum mollitia voluptate eius deleniti.,Neutral,Resolved
13465,805126,2024-09-03,Phone,Website,Voluptatibus iure ipsa illum.,Positive,Resolved
709090,803949,2024-06-25,Branch,Product,Iste repellendus veritatis doloribus est.,Positive,Resolved
799502,31433,2024-11-14,Phone,Website,Animi veritatis ipsam occaecati modi quae.,Negative,Pending
715698,528720,2024-11-07,Branch,Service,Voluptate temporibus soluta praesentium.,Positive,Resolved
453170,221416,2024-04-27,Phone,Website,Voluptatem vitae facere beatae error.,Positive,Pending
992176,359006,2024-03-13,Branch,Website,Consequuntur aliquid praesentium ipsa impedit.,Positive,Resolved
756383,543391,2024-11-16,Phone,Service,Earum facere laborum perspiciatis reprehenderit praesentium.,Positive,Resolved
522568,892278,2024-01-25,Branch,Website,Aliquid nobis iure nam.,Negative,Resolved
662025,429676,2024-04-11,Branch,Website,Voluptatibus animi beatae enim repudiandae.,Neutral,Resolved
447691,754539,2024-02-27,Branch,Product,Suscipit repellendus tempora fuga temporibus corporis est nihil.,Negative,Resolved
34863,59430,2024-07-17,Branch,Service,Suscipit beatae nisi quidem deleniti illum.,Neutral,Pending
914558,827705,2024-04-12,Online,Product,Incidunt nisi sunt delectus quisquam similique.,Positive,Resolved
296599,231338,2024-09-03,Online,Service,Voluptatibus voluptas suscipit sed.,Positive,Resolved
308390,726908,2024-11-21,Online,Product,Qui delectus et.,Positive,Pending
419000,320373,2024-02-18,Online,Website,Rerum exercitationem temporibus dolores praesentium tenetur eius.,Neutral,Resolved
132702,905556,2024-09-15,Phone,Product,Dolorem magnam doloremque rem iure adipisci accusamus.,Neutral,Resolved
90088,720791,2024-11-15,Online,Product,Voluptas cumque in minima eligendi pariatur.,Positive,Pending
258382,811661,2024-11-03,Online,Product,Minus alias quisquam quam odit est.,Neutral,Pending
609214,762832,2024-05-30,Phone,Service,Corrupti quas optio quasi incidunt nisi reprehenderit.,Neutral,Resolved
128674,931765,2024-12-10,Phone,Website,Doloremque quidem quo nobis.,Neutral,Pending
88567,545631,2024-09-21,Phone,Service,Eius commodi totam nobis sequi.,Neutral,Pending
27948,502238,2024-03-03,Phone,Website,Fugit dicta consequatur consectetur.,Neutral,Resolved
891499,397677,2024-08-06,Online,Website,Et soluta magni delectus adipisci.,Positive,Resolved
166083,467992,2024-11-27,Phone,Product,Veritatis officia vero unde voluptatem aliquid porro eveniet.,Neutral,Resolved
660354,792976,2024-11-10,Phone,Service,Rem saepe sunt esse vero excepturi voluptatum vero.,Negative,Resolved
44868,802368,2024-04-16,Branch,Website,Deleniti voluptatem possimus sequi odio inventore.,Neutral,Resolved
416310,949091,2024-12-14,Online,Website,Voluptatibus iste voluptas adipisci ab sequi molestias ipsum.,Positive,Resolved
144125,112651,2024-03-09,Branch,Product,Aliquid repellendus doloremque quidem reiciendis quisquam.,Negative,Resolved
231111,365297,2024-09-19,Branch,Service,Atque esse dolorum culpa beatae.,Neutral,Resolved
361752,294479,2024-04-05,Phone,Service,Eaque ducimus ea odit officia ipsum commodi.,Negative,Pending
5978,138953,2024-03-23,Online,Service,Maxime necessitatibus recusandae asperiores alias accusantium eius.,Positive,Resolved
797389,531482,2024-12-16,Online,Product,Id alias repellat dicta eveniet.,Negative,Pending
365325,277039,2024-12-25,Branch,Service,Sunt recusandae occaecati laborum nulla.,Negative,Pending
778884,390304,2024-02-28,Online,Product,Earum ut deserunt adipisci assumenda error rem.,Neutral,Resolved
372551,267528,2024-06-23,Phone,Service,Nobis optio neque.,Negative,Resolved
744261,991084,2024-10-04,Phone,Product,Voluptas numquam beatae explicabo.,Negative,Resolved
623957,53049,2024-07-11,Phone,Website,Alias quas vero vero deleniti culpa at.,Positive,Resolved
709992,768218,2024-06-02,Branch,Service,Quod dolor quae quisquam cupiditate saepe vero atque.,Positive,Resolved
297836,707972,2024-07-05,Branch,Product,Laborum sapiente voluptatibus non.,Positive,Resolved
354258,659329,2024-03-25,Phone,Website,Laudantium ea fugit consequatur perferendis ea porro.,Positive,Pending
868285,440504,2024-05-15,Online,Website,Tempore at sit vero.,Negative,Pending
997206,102906,2024-12-01,Online,Website,Dolorum minima dolorum eos accusamus quo quos.,Negative,Pending
590322,415976,2024-11-14,Online,Website,Et totam minima consequatur eum rerum.,Positive,Pending
774163,794496,2024-08-23,Phone,Service,Fugit laboriosam tempore voluptatum voluptate fugiat aliquid.,Neutral,Pending
201456,651637,2024-05-06,Branch,Website,Corporis dolore aperiam molestiae reprehenderit.,Positive,Resolved
596549,949405,2024-02-25,Branch,Service,Dolor totam deserunt cumque.,Neutral,Resolved
93929,122434,2024-08-05,Branch,Product,Nostrum incidunt delectus cupiditate iusto deleniti.,Negative,Pending
655195,386727,2024-11-09,Phone,Service,Quaerat laudantium dolorem unde maxime.,Negative,Pending
