TransactionID,CustomerID,TransactionDate,TransactionTime,Amount,TransactionType,TransactionChannel,BranchID,BalanceAfterTransaction
14255847,374300,2024-06-05,09:37:29,12022.11,Transfer,Online,99,104796.1
84102450,160690,2024-08-30,06:42:29,37248.89,Transfer,Branch,51,270355.63
66472122,717623,2024-08-07,19:46:39,47088.0,Deposit,ATM,16,144049.69
64671130,200614,2024-12-10,16:58:51,9787.16,Withdrawal,Online,68,164709.2
90569991,117415,2024-03-21,22:16:59,4768.93,Deposit,Online,57,390940.64
67170728,116558,2024-02-24,03:52:14,13663.73,Deposit,Online,9,439682.56
30149840,176317,2024-12-27,11:02:03,4332.44,Transfer,Online,90,229419.9
786602,207030,2024-08-26,22:34:01,48568.58,Withdrawal,Branch,76,390788.97
45261874,993671,2024-10-11,14:31:40,42613.9,Deposit,Branch,99,299117.99
85184073,474363,2024-11-17,04:58:28,38478.44,Deposit,Branch,45,318782.57
37177115,272778,2024-11-09,15:39:52,808.39,Transfer,Branch,76,184964.07
15459876,75682,2024-03-26,08:12:04,45178.08,Transfer,ATM,51,363673.75
61852180,306000,2024-04-11,14:51:39,10376.59,Withdrawal,Online,51,159099.52
15905516,373740,2024-09-01,15:32:07,24762.01,Transfer,Branch,49,219946.33
8097054,548344,2024-09-06,04:04:18,46406.42,Withdrawal,ATM,21,231532.06
17893197,624396,2024-12-17,10:17:54,11071.62,Deposit,ATM,3,408229.14
26617326,264540,2024-03-17,12:53:41,36327.19,Deposit,ATM,56,420325.21
85152506,802368,2024-07-08,01:12:55,7172.46,Withdrawal,Online,88,487301.17
59947632,941625,2024-09-20,10:55:11,37615.06,Transfer,ATM,92,304996.73
79326546,411343,2024-09-20,01:48:58,6806.31,Transfer,ATM,67,465581.35
24744807,931961,2024-11-21,10:45:14,42069.3,Transfer,Branch,81,177840.59
9621679,991084,2024-07-22,08:01:05,27971.66,Deposit,ATM,32,215896.59
75514339,548913,2024-05-16,16:20:25,9983.76,Deposit,ATM,36,312418.74
64557085,984476,2024-12-23,07:33:34,27345.93,Deposit,Online,80,25196.22
4640417,853028,2024-02-10,10:48:25,15917.38,Withdrawal,Branch,91,341932.29
55521161,798022,2024-03-30,01:46:57,34786.21,Deposit,ATM,2,236992.79
67612452,283909,2024-01-28,07:10:34,9614.67,Transfer,Branch,39,391033.47
22387307,489322,2024-04-25,00:18:17,29169.29,Transfer,ATM,54,59884.17
37117078,8777,2024-01-21,19:59:36,10387.99,Withdrawal,Online,62,360363.25
29679352,802368,2024-10-06,11:27:08,29648.3,Withdrawal,ATM,35,159286.78
5024086,993671,2024-01-21,12:14:30,23637.39,Transfer,ATM,96,325328.47
40534653,699278,2024-12-09,23:48:10,46871.26,Withdrawal,ATM,35,348613.58
59073093,996742,2024-06-20,09:00:35,13845.98,Withdrawal,Online,3,302702.63
97955589,921883,2024-04-04,12:27:24,16838.66,Withdrawal,Branch,55,181308.81
53174289,404536,2024-03-30,08:26:28,46510.06,Transfer,ATM,39,164564.95
24858423,186209,2025-01-08,11:26:12,27853.33,Transfer,ATM,51,31113.72
